FECHA,DEPARTAMENTO,MUNICIPIO,DÍA,ZONA,CLASE DE SITIO,CÓDIGO DANE,CLASE DE ARMA,PERMISO,CANTIDAD
,MAGDALENA,PLATO,Sábado,URBANA,VIAS PUBLICAS,"47,555,000",ESCOPETA,SIN PERMISO,1
,META,CUBARRAL,Sábado,RURAL,FINCAS Y SIMILARES,"50,223,000",ESCOPETA,SIN PERMISO,1
,SANTANDER,BUCARAMANGA (CT),Sábado,URBANA,VIAS PUBLICAS,"68,001,000",PISTOLA,SIN PERMISO,1
,SANTANDER,BUCARAMANGA (CT),Sábado,URBANA,VIAS PUBLICAS,"68,001,000",REVOLVER,SIN PERMISO,1
,TOLIMA,PLANADAS,Sábado,RURAL,VIAS PUBLICAS,"73,555,000",FUSIL / RIFLE,SIN PERMISO,1
,TOLIMA,PLANADAS,Sábado,RURAL,VIAS PUBLICAS,"73,555,000",REVOLVER,SIN PERMISO,1
,VALLE,BUENAVENTURA,Sábado,URBANA,VIAS PUBLICAS,"76,109,000",REVOLVER,SIN PERMISO,1
,VALLE,CALI (CT),Sábado,URBANA,VIAS PUBLICAS,"76,001,000",ESCOPETA,SIN PERMISO,1
,VALLE,CALI (CT),Sábado,URBANA,VIAS PUBLICAS,"76,001,000",PISTOLA,SIN PERMISO,1
,VALLE,DAGUA,Sábado,RURAL,VIAS PUBLICAS,"76,233,000",PISTOLA,SIN PERMISO,1
,VALLE,EL ÁGUILA,Sábado,RURAL,VIAS PUBLICAS,"76,243,000",ESCOPETA,SIN PERMISO,1
,VALLE,PALMIRA,Sábado,URBANA,VIAS PUBLICAS,"76,520,000",REVOLVER,SIN PERMISO,1
,VALLE,YOTOCO,Sábado,RURAL,INTERIOR VEHICULO PARTICULAR,"76,890,000",PISTOLA,CON PERMISO,2
,ANTIOQUIA,CIUDAD BOLÍVAR,Domingo,URBANA,VIAS PUBLICAS,"5,101,000",PISTOLA,CON PERMISO,1
,ANTIOQUIA,MEDELLÍN (CT),Domingo,URBANA,TERMINAL DE TRANSPORTES,"5,001,000",REVOLVER,SIN PERMISO,1
,ANTIOQUIA,MEDELLÍN (CT),Domingo,URBANA,VIAS PUBLICAS,"5,001,000",ESCOPETA,SIN PERMISO,1
,ANTIOQUIA,MEDELLÍN (CT),Domingo,URBANA,ESTABLECIMIENTO PUBLICO,"5,001,000",REVOLVER,SIN PERMISO,1
,ATLÁNTICO,BARRANQUILLA (CT),Domingo,URBANA,VIAS PUBLICAS,"8,001,000",PISTOLA,SIN PERMISO,1
,ATLÁNTICO,BARRANQUILLA (CT),Domingo,URBANA,VIAS PUBLICAS,"8,001,000",REVOLVER,SIN PERMISO,1
,ATLÁNTICO,BARRANQUILLA (CT),Domingo,URBANA,VIAS PUBLICAS,"8,001,000",PISTOLA,SIN PERMISO,1
,ATLÁNTICO,BARRANQUILLA (CT),Domingo,URBANA,VIAS PUBLICAS,"8,001,000",PISTOLA,SIN PERMISO,1
,ATLÁNTICO,BARRANQUILLA (CT),Domingo,URBANA,VIAS PUBLICAS,"8,001,000",PISTOLA,SIN PERMISO,1
,ATLÁNTICO,BARRANQUILLA (CT),Domingo,URBANA,VIAS PUBLICAS,"8,001,000",PISTOLA,SIN PERMISO,1
,ATLÁNTICO,BARRANQUILLA (CT),Domingo,URBANA,VIAS PUBLICAS,"8,001,000",PISTOLA,SIN PERMISO,1
,ATLÁNTICO,BARRANQUILLA (CT),Domingo,URBANA,VIAS PUBLICAS,"8,001,000",PISTOLA,SIN PERMISO,1
,ATLÁNTICO,BARRANQUILLA (CT),Domingo,URBANA,VIAS PUBLICAS,"8,001,000",PISTOLA,SIN PERMISO,1
,ATLÁNTICO,SOLEDAD,Domingo,URBANA,VIAS PUBLICAS,"8,758,000",REVOLVER,SIN PERMISO,1
,ATLÁNTICO,SOLEDAD,Domingo,URBANA,VIAS PUBLICAS,"8,758,000",ESCOPETA,SIN PERMISO,1
,BOLÍVAR,CARTAGENA (CT),Domingo,RURAL,VIAS PUBLICAS,"13,001,000",REVOLVER,CON PERMISO,2
,BOLÍVAR,CARTAGENA (CT),Domingo,URBANA,VIAS PUBLICAS,"13,001,000",REVOLVER,SIN PERMISO,1
,BOLÍVAR,CARTAGENA (CT),Domingo,URBANA,VIAS PUBLICAS,"13,001,000",PISTOLA,SIN PERMISO,1
,BOYACÁ,LA UVITA,Domingo,URBANA,VIAS PUBLICAS,"15,403,000",ESCOPETA DE FISTO,SIN PERMISO,1
,CALDAS,ANSERMA,Domingo,URBANA,VIAS PUBLICAS,"17,042,000",ESCOPETA,SIN PERMISO,1
,CALDAS,ANSERMA,Domingo,URBANA,VIAS PUBLICAS,"17,042,000",ESCOPETA,SIN PERMISO,1
,CALDAS,BELALCÁZAR,Domingo,URBANA,VIAS PUBLICAS,"17,088,000",ESCOPETA,SIN PERMISO,1
,CALDAS,CHINCHINÁ,Domingo,URBANA,VIAS PUBLICAS,"17,174,000",REVOLVER,SIN PERMISO,1
,CALDAS,LA DORADA,Domingo,URBANA,VIAS PUBLICAS,"17,380,000",ESCOPETA,SIN PERMISO,1
,CALDAS,LA MERCED,Domingo,URBANA,INSTALACIONES DE LA POLICIA,"17,388,000",ESCOPETA,SIN PERMISO,1
,CALDAS,MANZANARES,Domingo,URBANA,INSTALACIONES DE LA POLICIA,"17,433,000",ESCOPETA,SIN PERMISO,1
,CALDAS,MARMATO,Domingo,RURAL,INSTALACIONES DE LA POLICIA,"17,442,000",ESCOPETA,SIN PERMISO,1
,CALDAS,MARQUETALIA,Domingo,URBANA,INSTALACIONES DE LA POLICIA,"17,444,000",ESCOPETA,SIN PERMISO,2
,CALDAS,NEIRA,Domingo,URBANA,INSTALACIONES DE LA POLICIA,"17,486,000",ESCOPETA,SIN PERMISO,1
,CALDAS,PÁCORA,Domingo,URBANA,INSTALACIONES DE LA POLICIA,"17,513,000",ESCOPETA,SIN PERMISO,1
,CALDAS,PÁCORA,Domingo,URBANA,INSTALACIONES DE LA POLICIA,"17,513,000",ESCOPETA,SIN PERMISO,1
,CALDAS,PÁCORA,Domingo,URBANA,INSTALACIONES DE LA POLICIA,"17,513,000",ESCOPETA,SIN PERMISO,1
,CALDAS,PALESTINA,Domingo,RURAL,VIAS PUBLICAS,"17,524,000",ESCOPETA,SIN PERMISO,1
,CALDAS,PENSILVANIA,Domingo,URBANA,INSTALACIONES DE LA POLICIA,"17,541,000",ESCOPETA DE FISTO,SIN PERMISO,1
,CALDAS,RISARALDA,Domingo,URBANA,VIAS PUBLICAS,"17,616,000",ESCOPETA,SIN PERMISO,1
,CALDAS,SALAMINA,Domingo,URBANA,INSTALACIONES DE LA POLICIA,"17,653,000",ESCOPETA,SIN PERMISO,1
,CALDAS,SAMANÁ,Domingo,RURAL,VIAS PUBLICAS,"17,662,000",ESCOPETA,SIN PERMISO,1
,CALDAS,SAN JOSÉ,Domingo,RURAL,VIAS PUBLICAS,"17,665,000",ESCOPETA,SIN PERMISO,1
,CALDAS,VICTORIA,Domingo,URBANA,VIAS PUBLICAS,"17,867,000",ESCOPETA DE FISTO,SIN PERMISO,1
,CALDAS,VITERBO,Domingo,URBANA,VIAS PUBLICAS,"17,877,000",ESCOPETA,SIN PERMISO,1
,CALDAS,VITERBO,Domingo,URBANA,VIAS PUBLICAS,"17,877,000",ESCOPETA,SIN PERMISO,1
,CAQUETÁ,CURILLO,Domingo,URBANA,VIAS PUBLICAS,"18,205,000",REVOLVER,CON PERMISO,1
,CAQUETÁ,FLORENCIA (CT),Domingo,URBANA,VIAS PUBLICAS,"18,001,000",REVOLVER,SIN PERMISO,1
,CASANARE,SAN LUIS DE PALENQUE,Domingo,RURAL,VIAS PUBLICAS,"85,325,000",ESCOPETA,SIN PERMISO,1
,CAUCA,LÓPEZ,Domingo,URBANA,VIAS PUBLICAS,"19,418,000",PISTOLA,SIN PERMISO,1
,CESAR,BOSCONIA,Domingo,RURAL,CARRETERA,"20,060,000",ESCOPETA,SIN PERMISO,1
,CESAR,VALLEDUPAR (CT),Domingo,URBANA,VIAS PUBLICAS,"20,001,000",ESCOPETA,SIN PERMISO,1
,CHOCÓ,EL CARMEN DE ATRATO,Domingo,URBANA,ESTABLECIMIENTO PUBLICO,"27,245,000",REVOLVER,SIN PERMISO,1
,CÓRDOBA,MONTERÍA (CT),Domingo,URBANA,VIAS PUBLICAS,"23,001,000",REVOLVER,CON PERMISO,1
,CÓRDOBA,SAN CARLOS,Domingo,URBANA,VIAS PUBLICAS,"23,678,000",REVOLVER,SIN PERMISO,1
,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,URBANA,VIAS PUBLICAS,"11,001,000",REVOLVER,SIN PERMISO,1
